Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,RSI,Open-Close,High-Low,Volume-Change,Daily-Return,Price-Range,Price-Volatility,Volume-Momentum,Return-Momentum,Return-MA
09-03-2015,438.3944702,441.6882324,428.0178223,430.7420044,409.397583,6491176,,,35.89744055,0.074310303,13.67041016,0.312473968,-0.017289087,13.67041016,13.30035158,75648360,-0.002263983,-0.000226398
10-03-2015,430.3952942,433.7881165,423.6838989,425.5412903,404.4545288,7030516,,,36.80871269,-0.346710205,10.10421753,0.08308818,-0.012073849,10.10421753,13.60469024,76169669,0.010458879,0.001045888
11-03-2015,426.4328308,430.7172241,422.197998,423.9563293,402.9480896,5369953,,,36.3582157,0.891540527,8.519226074,-0.236193617,-0.003724576,8.519226074,13.96129421,72334446,0.018479007,0.001847901
12-03-2015,424.9716797,429.6275635,423.782959,427.8444519,406.6435852,5437566,,,39.06829664,1.015350342,5.844604492,0.012590985,0.009171045,5.844604492,14.15631695,70723010,0.025629676,0.002562968
13-03-2015,430.4200439,430.7172241,419.5233459,421.0587769,400.1941223,5970034,,,42.79899041,2.575592041,11.19387817,0.097923961,-0.015860145,11.19387817,14.47222272,66789373,0.011133487,0.001113349
16-03-2015,421.7521973,422.9656982,416.2048035,417.096344,396.4280396,6387153,435.976875,,46.79904017,0.69342041,6.760894775,0.069868781,-0.009410641,6.760894775,14.45911993,64565226,-0.01436982,-0.001436982
17-03-2015,421.2816772,425.9127808,416.5515137,424.4020996,403.3717957,8800839,435.6692908,,55.1061141,4.185333252,9.36126709,0.377897007,0.017515751,9.36126709,14.35676608,66637623,-0.007022941,-0.000702294
18-03-2015,424.4763794,432.0297852,423.3371887,430.2467041,408.9267578,4278050,435.5018781,,57.92418027,0.074279785,8.692596436,-0.513904299,0.013771384,8.692596436,14.19531938,61391736,-0.03554255,-0.003554255
19-03-2015,433.6643066,434.2338867,423.0400085,424.0553894,403.0422058,6430821,435.3067279,,54.10740928,3.417602539,11.19387817,0.503213146,-0.01439015,11.19387817,13.32119222,61141864,-0.035556624,-0.003555662
20-03-2015,424.9221497,426.5318909,420.3158264,423.0400085,402.077179,4802236,435.4850378,,49.54898359,0.866760254,6.216064453,-0.253246825,-0.002394453,6.216064453,12.6080072,60998344,-0.034684722,-0.003468472
23-03-2015,424.2287292,427.943512,415.1151123,417.0220337,396.3574219,6115649,435.3626971,,43.20948926,1.188720703,12.82839966,0.273500303,-0.014225545,12.82839966,12.126305,60622817,-0.03162118,-0.003162118
24-03-2015,417.096344,423.1390686,417.096344,419.993866,399.1820374,4263534,435.4211432,,30.22819893,0.074310303,6.042724609,-0.302848479,0.00712632,6.042724609,11.81507137,57855835,-0.012421011,-0.001242101
25-03-2015,420.5139465,420.7615967,416.5515137,418.4831848,397.7461548,4737268,435.2685889,,32.64644642,0.520080566,4.210083008,0.111112987,-0.003596912,4.210083008,11.78238924,57223150,-0.012293347,-0.001229335
